held_city,model,r2_med,r2_p5,r2_p95,sp_med,sp_p5,sp_p95
beijing,knn,-0.274,-0.315,-0.219,0.053,-0.073,0.165
beijing,rf,-0.258,-0.303,-0.217,0.032,-0.065,0.151
beijing,ridge,-0.217,-0.273,-0.19,-0.013,-0.09,0.067
guangzhou,knn,-0.168,-0.24,-0.098,-0.059,-0.148,0.038
guangzhou,rf,-0.333,-0.486,-0.241,-0.096,-0.178,0.017
guangzhou,ridge,-0.089,-0.143,-0.044,-0.021,-0.067,0.023
shanghai,knn,-0.082,-0.12,-0.047,0.044,-0.026,0.118
shanghai,rf,-0.075,-0.109,-0.04,0.046,-0.022,0.113
shanghai,ridge,0.002,-0.016,0.019,0.122,-0.018,0.212
wuhan,knn,-0.903,-1.139,-0.718,0.046,0.004,0.083
wuhan,rf,-1.049,-1.262,-0.833,0.061,0.018,0.1
wuhan,ridge,-0.723,-0.943,-0.544,0.096,-0.033,0.183
xiamen,knn,-0.09,-0.108,-0.074,0.026,0.009,0.045
xiamen,rf,-0.094,-0.115,-0.08,0.025,0.002,0.043
xiamen,ridge,-0.024,-0.047,-0.014,0.001,-0.058,0.056
zhengzhou,knn,-0.25,-0.312,-0.197,0.052,0.017,0.088
zhengzhou,rf,-0.305,-0.377,-0.261,0.066,0.032,0.102
zhengzhou,ridge,-0.238,-0.283,-0.195,0.025,0.0,0.068
