a,b,n_cells,spearman
2023-05-04,2023-05-05,6067,0.6983489521731426
2023-05-04,2023-05-06,5877,0.6881700179838526
2023-05-04,2023-05-07,5832,0.6852302400966349
2023-05-04,2023-05-08,5836,0.6705332018462632
2023-05-04,2023-05-09,5741,0.6747512541115107
2023-05-04,2023-05-10,5812,0.66482650114765
2023-05-04,weekday,8606,0.8707980838631354
2023-05-04,weekend,6877,0.703976157301616
2023-05-04,day,8110,0.7930660294791408
2023-05-04,night,7394,0.7851678693136314
2023-05-05,2023-05-06,6079,0.7117636915627616
2023-05-05,2023-05-07,5903,0.6853464177165378
2023-05-05,2023-05-08,5880,0.6731734656605074
2023-05-05,2023-05-09,5805,0.6804758609141728
2023-05-05,2023-05-10,5711,0.6613188757172955
2023-05-05,weekday,8499,0.8653445003437298
2023-05-05,weekend,7013,0.7180941509496644
2023-05-05,day,8030,0.7876916841067522
2023-05-05,night,7299,0.7872358697877497
2023-05-06,2023-05-07,6088,0.7088941915755516
2023-05-06,2023-05-08,5903,0.6796104055210487
2023-05-06,2023-05-09,5810,0.6843301205337218
2023-05-06,2023-05-10,5723,0.6565187449144508
2023-05-06,weekday,7798,0.7377802579068824
2023-05-06,weekend,8508,0.9302509094984435
2023-05-06,day,8036,0.7837020860950211
2023-05-06,night,7354,0.7935112811035131
2023-05-07,2023-05-08,6028,0.6894591630567574
2023-05-07,2023-05-09,5798,0.6795002976856517
2023-05-07,2023-05-10,5725,0.6626110035804572
2023-05-07,weekday,7766,0.7434222324755899
2023-05-07,weekend,8514,0.9280370681023424
2023-05-07,day,8068,0.7926912668246922
2023-05-07,night,7281,0.7907482023625213
2023-05-08,2023-05-09,5929,0.6936919938787822
2023-05-08,2023-05-10,5755,0.6496780149086522
2023-05-08,weekday,8437,0.8600335884221555
2023-05-08,weekend,6992,0.6997671219576173
2023-05-08,day,7972,0.7782389951662194
2023-05-08,night,7285,0.7683348464497111
2023-05-09,2023-05-10,5858,0.6774461815946061
2023-05-09,weekday,8260,0.864516292805195
2023-05-09,weekend,6769,0.6994564840181235
2023-05-09,day,7827,0.7832033080217298
2023-05-09,night,7134,0.7784292041187303
2023-05-10,weekday,8447,0.8571589601537907
2023-05-10,weekend,6683,0.6677691149962589
2023-05-10,day,8010,0.7732968852472886
2023-05-10,night,7296,0.7816515512035733
weekday,weekend,10067,0.7502095236942812
weekday,day,14828,0.9075153906621727
weekday,night,11346,0.8894582189848181
weekend,day,10721,0.8298791228836037
weekend,night,9149,0.8248667734071687
day,night,9956,0.711089966917262
