weight,ablation,rho,K,cand_set,z_ip,z_lp,gamma
ev,Eucl,0.0,1,511,948958.0,948958.0,0.0
ev,Eucl,0.0,5,511,1831523.0,1831822.0,0.00016325211313207642
ev,Eucl,0.0,10,511,1882738.0,1882738.0,0.0
ev,Eucl,0.0,20,511,1882738.0,1882738.0,0.0
ev,Eucl,0.0,30,511,1882738.0,1882738.0,0.0
ev,Eucl,0.0,50,511,1882738.0,1882738.0,0.0
ev,Eucl,0.0,75,511,1882738.0,1882738.0,0.0
ev,Eucl,0.0,100,511,1882738.0,1882738.0,0.0
ev,Eucl,0.0,150,511,1882738.0,1882738.0,0.0
ev,Eucl,0.0,300,511,1882738.0,1882738.0,0.0
ev,Eucl,0.0,605,511,1882738.0,1882738.0,0.0
ev,Eucl,0.2,1,511,627579.0,627579.0,0.0
ev,Eucl,0.2,5,511,1698360.0,1701264.5,0.0017101792317294332
ev,Eucl,0.2,10,511,1866086.0,1866086.0,0.0
ev,Eucl,0.2,20,511,1882738.0,1882738.0,0.0
ev,Eucl,0.2,30,511,1882738.0,1882738.0,0.0
ev,Eucl,0.2,50,511,1882738.0,1882738.0,0.0
ev,Eucl,0.2,75,511,1882738.0,1882738.0,0.0
ev,Eucl,0.2,100,511,1882738.0,1882738.0,0.0
ev,Eucl,0.2,150,511,1882738.0,1882738.0,0.0
ev,Eucl,0.2,300,511,1882738.0,1882738.0,0.0
ev,Eucl,0.2,605,511,1882738.0,1882738.0,0.0
ev,Eucl,0.5,1,511,245599.0,245599.0,0.0
ev,Eucl,0.5,5,511,1058985.0,1058985.0,0.0
ev,Eucl,0.5,10,511,1549706.0,1549706.0,0.0
ev,Eucl,0.5,20,511,1828761.0,1828761.0,0.0
ev,Eucl,0.5,30,511,1882469.0,1882530.5,3.2669860698901285e-05
ev,Eucl,0.5,50,511,1882738.0,1882738.0,0.0
ev,Eucl,0.5,75,511,1882738.0,1882738.0,0.0
ev,Eucl,0.5,100,511,1882738.0,1882738.0,0.0
ev,Eucl,0.5,150,511,1882738.0,1882738.0,0.0
ev,Eucl,0.5,300,511,1882738.0,1882738.0,0.0
ev,Eucl,0.5,605,511,1882738.0,1882738.0,0.0
ev,Eucl,0.8,1,511,38055.0,38055.0,0.0
ev,Eucl,0.8,5,511,159799.0,159799.0,0.0
ev,Eucl,0.8,10,511,262519.0,262519.0,0.0
ev,Eucl,0.8,20,511,439122.0,439122.0,0.0
ev,Eucl,0.8,30,511,572947.0,572947.0,0.0
ev,Eucl,0.8,50,511,773743.0,773743.0,0.0
ev,Eucl,0.8,75,511,979083.0,979083.0,0.0
ev,Eucl,0.8,100,511,1142919.0,1142919.0,0.0
ev,Eucl,0.8,150,511,1380622.0,1380622.0,0.0
ev,Eucl,0.8,300,511,1581100.0,1581100.0,0.0
ev,Eucl,0.8,605,511,1581100.0,1581100.0,0.0
ev,energy,0.0,1,511,878033.0,878033.0,0.0
ev,energy,0.0,5,511,1816012.0,1816012.0,0.0
ev,energy,0.0,10,511,1882738.0,1882738.0,0.0
ev,energy,0.0,20,511,1882738.0,1882738.0,0.0
ev,energy,0.0,30,511,1882738.0,1882738.0,0.0
ev,energy,0.0,50,511,1882738.0,1882738.0,0.0
ev,energy,0.0,75,511,1882738.0,1882738.0,0.0
ev,energy,0.0,100,511,1882738.0,1882738.0,0.0
ev,energy,0.0,150,511,1882738.0,1882738.0,0.0
ev,energy,0.0,300,511,1882738.0,1882738.0,0.0
ev,energy,0.0,605,511,1882738.0,1882738.0,0.0
ev,energy,0.2,1,511,586738.0,586738.0,0.0
ev,energy,0.2,5,511,1635797.0,1641697.3333333328,0.0036070082860726544
ev,energy,0.2,10,511,1857031.0,1858364.5,0.0007180817121523551
ev,energy,0.2,20,511,1882738.0,1882738.0,0.0
ev,energy,0.2,30,511,1882738.0,1882738.0,0.0
ev,energy,0.2,50,511,1882738.0,1882738.0,0.0
ev,energy,0.2,75,511,1882738.0,1882738.0,0.0
ev,energy,0.2,100,511,1882738.0,1882738.0,0.0
ev,energy,0.2,150,511,1882738.0,1882738.0,0.0
ev,energy,0.2,300,511,1882738.0,1882738.0,0.0
ev,energy,0.2,605,511,1882738.0,1882738.0,0.0
ev,energy,0.5,1,511,236037.0,236037.0,0.0
ev,energy,0.5,5,511,962879.0,962879.0,0.0
ev,energy,0.5,10,511,1476536.0,1476536.0,0.0
ev,energy,0.5,20,511,1809769.0,1811939.75,0.0011994624728349308
ev,energy,0.5,30,511,1879789.0,1880469.0,0.0003617427275082469
ev,energy,0.5,50,511,1882738.0,1882738.0,0.0
ev,energy,0.5,75,511,1882738.0,1882738.0,0.0
ev,energy,0.5,100,511,1882738.0,1882738.0,0.0
ev,energy,0.5,150,511,1882738.0,1882738.0,0.0
ev,energy,0.5,300,511,1882738.0,1882738.0,0.0
ev,energy,0.5,605,511,1882738.0,1882738.0,0.0
ev,energy,0.8,1,511,38055.0,38055.0,0.0
ev,energy,0.8,5,511,159799.0,159799.0,0.0
ev,energy,0.8,10,511,262519.0,262519.0,0.0
ev,energy,0.8,20,511,439122.0,439122.0,0.0
ev,energy,0.8,30,511,572947.0,572947.0,0.0
ev,energy,0.8,50,511,773743.0,773743.0,0.0
ev,energy,0.8,75,511,979083.0,979083.0,0.0
ev,energy,0.8,100,511,1142919.0,1142919.0,0.0
ev,energy,0.8,150,511,1380622.0,1380622.0,0.0
ev,energy,0.8,300,511,1581100.0,1581100.0,0.0
ev,energy,0.8,605,511,1581100.0,1581100.0,0.0
ev,High,0.0,1,511,838929.0,838929.0,0.0
ev,High,0.0,5,511,1799012.0,1799012.0,0.0
ev,High,0.0,10,511,1876194.0,1876194.0,0.0
ev,High,0.0,20,511,1876194.0,1876194.0,0.0
ev,High,0.0,30,511,1876194.0,1876194.0,0.0
ev,High,0.0,50,511,1876194.0,1876194.0,0.0
ev,High,0.0,75,511,1876194.0,1876194.0,0.0
ev,High,0.0,100,511,1876194.0,1876194.0,0.0
ev,High,0.0,150,511,1876194.0,1876194.0,0.0
ev,High,0.0,300,511,1876194.0,1876194.0,0.0
ev,High,0.0,605,511,1876194.0,1876194.0,0.0
ev,High,0.2,1,511,526033.0,526033.0,0.0
ev,High,0.2,5,511,1563984.0,1563984.0,0.0
ev,High,0.2,10,511,1834720.0,1835514.5,0.0004330361036016395
ev,High,0.2,20,511,1876194.0,1876194.0,0.0
ev,High,0.2,30,511,1876194.0,1876194.0,0.0
ev,High,0.2,50,511,1876194.0,1876194.0,0.0
ev,High,0.2,75,511,1876194.0,1876194.0,0.0
ev,High,0.2,100,511,1876194.0,1876194.0,0.0
ev,High,0.2,150,511,1876194.0,1876194.0,0.0
ev,High,0.2,300,511,1876194.0,1876194.0,0.0
ev,High,0.2,605,511,1876194.0,1876194.0,0.0
ev,High,0.5,1,511,216384.0,216384.0,0.0
ev,High,0.5,5,511,859755.0,859755.0,0.0
ev,High,0.5,10,511,1316137.0,1316137.0,0.0
ev,High,0.5,20,511,1735755.0,1735774.5,1.1234304380514531e-05
ev,High,0.5,30,511,1850095.0,1851733.0,0.0008853599409760039
ev,High,0.5,50,511,1871714.0,1871714.0,0.0
ev,High,0.5,75,511,1871714.0,1871714.0,0.0
ev,High,0.5,100,511,1871714.0,1871714.0,0.0
ev,High,0.5,150,511,1871714.0,1871714.0,0.0
ev,High,0.5,300,511,1871714.0,1871714.0,0.0
ev,High,0.5,605,511,1871714.0,1871714.0,0.0
ev,High,0.8,1,511,28778.0,28778.0,0.0
ev,High,0.8,5,511,106470.0,106470.0,0.0
ev,High,0.8,10,511,188426.0,188426.0,0.0
ev,High,0.8,20,511,302537.0,302537.0,0.0
ev,High,0.8,30,511,393155.0,393155.0,0.0
ev,High,0.8,50,511,536226.0,536226.0,0.0
ev,High,0.8,75,511,665373.0,665373.0,0.0
ev,High,0.8,100,511,754596.0,754596.0,0.0
ev,High,0.8,150,511,841725.0,841725.0,0.0
ev,High,0.8,300,511,841953.0,841953.0,0.0
ev,High,0.8,605,511,841953.0,841953.0,0.0
ev,Medium,0.0,1,511,803879.0,803879.0,0.0
ev,Medium,0.0,5,511,1790336.0,1792495.0,0.0012059188889683278
ev,Medium,0.0,10,511,1873553.0,1873553.0,0.0
ev,Medium,0.0,20,511,1873698.0,1873698.0,0.0
ev,Medium,0.0,30,511,1873698.0,1873698.0,0.0
ev,Medium,0.0,50,511,1873698.0,1873698.0,0.0
ev,Medium,0.0,75,511,1873698.0,1873698.0,0.0
ev,Medium,0.0,100,511,1873698.0,1873698.0,0.0
ev,Medium,0.0,150,511,1873698.0,1873698.0,0.0
ev,Medium,0.0,300,511,1873698.0,1873698.0,0.0
ev,Medium,0.0,605,511,1873698.0,1873698.0,0.0
ev,Medium,0.2,1,511,517431.0,517431.0,0.0
ev,Medium,0.2,5,511,1561766.0,1561766.0,0.0
ev,Medium,0.2,10,511,1833110.0,1833110.0,0.0
ev,Medium,0.2,20,511,1873698.0,1873698.0,0.0
ev,Medium,0.2,30,511,1873698.0,1873698.0,0.0
ev,Medium,0.2,50,511,1873698.0,1873698.0,0.0
ev,Medium,0.2,75,511,1873698.0,1873698.0,0.0
ev,Medium,0.2,100,511,1873698.0,1873698.0,0.0
ev,Medium,0.2,150,511,1873698.0,1873698.0,0.0
ev,Medium,0.2,300,511,1873698.0,1873698.0,0.0
ev,Medium,0.2,605,511,1873698.0,1873698.0,0.0
ev,Medium,0.5,1,511,216384.0,216384.0,0.0
ev,Medium,0.5,5,511,853559.0,853559.0,0.0
ev,Medium,0.5,10,511,1306049.0,1306049.0,0.0
ev,Medium,0.5,20,511,1720899.0,1720899.0,0.0
ev,Medium,0.5,30,511,1842277.0,1845045.0,0.001502488496572448
ev,Medium,0.5,50,511,1869218.0,1869218.0,0.0
ev,Medium,0.5,75,511,1869218.0,1869218.0,0.0
ev,Medium,0.5,100,511,1869218.0,1869218.0,0.0
ev,Medium,0.5,150,511,1869218.0,1869218.0,0.0
ev,Medium,0.5,300,511,1869218.0,1869218.0,0.0
ev,Medium,0.5,605,511,1869218.0,1869218.0,0.0
ev,Medium,0.8,1,511,28778.0,28778.0,0.0
ev,Medium,0.8,5,511,106470.0,106470.0,0.0
ev,Medium,0.8,10,511,188426.0,188426.0,0.0
ev,Medium,0.8,20,511,302537.0,302537.0,0.0
ev,Medium,0.8,30,511,393155.0,393155.0,0.0
ev,Medium,0.8,50,511,536226.0,536226.0,0.0
ev,Medium,0.8,75,511,665373.0,665373.0,0.0
ev,Medium,0.8,100,511,754596.0,754596.0,0.0
ev,Medium,0.8,150,511,841725.0,841725.0,0.0
