weight,ablation,rho,K,cand_set,z_ip,z_lp,gamma
pop,Eucl,0.0,1,511,1478940.475588722,1478940.4755887233,9.445842378254746e-16
pop,Eucl,0.0,5,511,1827695.61430294,1827695.6143029446,2.547805464233915e-15
pop,Eucl,0.0,10,511,1845595.3656199821,1845601.4451992328,3.2941019271642577e-06
pop,Eucl,0.0,20,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.0,30,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.0,50,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.0,75,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.0,100,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.0,150,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.0,300,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.0,605,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.2,1,511,1191978.8303437987,1191978.8303438,9.766559511242117e-16
pop,Eucl,0.2,5,511,1782731.2957116007,1783378.1235251795,0.0003628296732854402
pop,Eucl,0.2,10,511,1836030.9754408011,1836030.9754408037,1.394931302603802e-15
pop,Eucl,0.2,20,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.2,30,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.2,50,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.2,75,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.2,100,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.2,150,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.2,300,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.2,605,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,Eucl,0.5,1,511,505940.03188228427,505940.03188228456,5.752426893056214e-16
pop,Eucl,0.5,5,511,1385604.8306019078,1385604.830601909,8.401769339701559e-16
pop,Eucl,0.5,10,511,1711058.586226663,1711771.2122230232,0.0004164825226304019
pop,Eucl,0.5,20,511,1811944.2623434938,1813657.2897313072,0.0009454084341412762
pop,Eucl,0.5,30,511,1839233.8014114227,1839732.9530791498,0.000271391090868442
pop,Eucl,0.5,50,511,1845068.5050609848,1845068.5050609875,1.5142894240417848e-15
pop,Eucl,0.5,75,511,1845068.5050609848,1845068.5050609875,1.5142894240417848e-15
pop,Eucl,0.5,100,511,1845068.5050609848,1845068.5050609875,1.5142894240417848e-15
pop,Eucl,0.5,150,511,1845068.5050609848,1845068.5050609875,1.5142894240417848e-15
pop,Eucl,0.5,300,511,1845068.5050609848,1845068.5050609875,1.5142894240417848e-15
pop,Eucl,0.5,605,511,1845068.5050609848,1845068.5050609875,1.5142894240417848e-15
pop,Eucl,0.8,1,511,7543.299674098422,7543.299674098423,1.2056987539496518e-16
pop,Eucl,0.8,5,511,33752.945542996385,33752.94554299638,-2.155651157886326e-16
pop,Eucl,0.8,10,511,64709.342004645536,64709.342004645565,4.497624230925469e-16
pop,Eucl,0.8,20,511,119899.48359329045,119899.48359329048,2.4273524442737755e-16
pop,Eucl,0.8,30,511,165850.87565413138,165850.87565413155,1.0528915331418833e-15
pop,Eucl,0.8,50,511,237582.2958732037,237582.2958732036,-3.6749999005312565e-16
pop,Eucl,0.8,75,511,298116.16060191963,298116.1606019195,-3.9050322395097015e-16
pop,Eucl,0.8,100,511,335157.0115242904,335157.0115242906,5.210184383319889e-16
pop,Eucl,0.8,150,511,376309.7530860314,376329.49882801005,5.247204415167709e-05
pop,Eucl,0.8,300,511,403205.5887788215,403205.5887788217,4.330867120896771e-16
pop,Eucl,0.8,605,511,403225.25856789784,403225.258567898,4.330655856247607e-16
pop,energy,0.0,1,511,1420678.1210997025,1420678.1210997046,1.4749827999482277e-15
pop,energy,0.0,5,511,1821135.1621633703,1821400.5273886637,0.00014571418465074662
pop,energy,0.0,10,511,1845260.8544589984,1845260.8544590014,1.64030920624917e-15
pop,energy,0.0,20,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.0,30,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.0,50,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.0,75,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.0,100,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.0,150,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.0,300,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.0,605,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.2,1,511,1119718.594494359,1119718.5944943589,-2.0793674839258248e-16
pop,energy,0.2,5,511,1766683.11359268,1769109.8160466,0.0013735923750270308
pop,energy,0.2,10,511,1831886.8914062846,1832246.3246623694,0.00019620930624645268
pop,energy,0.2,20,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.2,30,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.2,50,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.2,75,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.2,100,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.2,150,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.2,300,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
pop,energy,0.2,605,511,1845754.6974243403,1845754.697424343,1.5137264598298353e-15
