weight,ablation,rho,K,cand_set,z_ip,z_lp,gamma
uniform,Eucl,0.0,1,511,11720.0,11720.0,0.0
uniform,Eucl,0.0,5,511,17413.0,17418.5,0.0003158559696778269
uniform,Eucl,0.0,10,511,17893.0,17893.0,0.0
uniform,Eucl,0.0,20,511,17899.0,17899.0,0.0
uniform,Eucl,0.0,30,511,17899.0,17899.0,0.0
uniform,Eucl,0.0,50,511,17899.0,17899.0,0.0
uniform,Eucl,0.0,75,511,17899.0,17899.0,0.0
uniform,Eucl,0.0,100,511,17899.0,17899.0,0.0
uniform,Eucl,0.0,150,511,17899.0,17899.0,0.0
uniform,Eucl,0.0,300,511,17899.0,17899.0,0.0
uniform,Eucl,0.0,605,511,17899.0,17899.0,0.0
uniform,Eucl,0.2,1,511,8765.0,8765.0,0.0
uniform,Eucl,0.2,5,511,16348.0,16358.800000000001,0.0006606312698801744
uniform,Eucl,0.2,10,511,17619.0,17624.963636363642,0.0003384775732812222
uniform,Eucl,0.2,20,511,17899.0,17899.0,0.0
uniform,Eucl,0.2,30,511,17899.0,17899.0,0.0
uniform,Eucl,0.2,50,511,17899.0,17899.0,0.0
uniform,Eucl,0.2,75,511,17899.0,17899.0,0.0
uniform,Eucl,0.2,100,511,17899.0,17899.0,0.0
uniform,Eucl,0.2,150,511,17899.0,17899.0,0.0
uniform,Eucl,0.2,300,511,17899.0,17899.0,0.0
uniform,Eucl,0.2,605,511,17899.0,17899.0,0.0
uniform,Eucl,0.5,1,511,3284.0,3284.0,0.0
uniform,Eucl,0.5,5,511,10913.0,10913.0,0.0
uniform,Eucl,0.5,10,511,15000.0,15000.0,0.0
uniform,Eucl,0.5,20,511,17055.0,17080.42666666665,0.00149086289455595
uniform,Eucl,0.5,30,511,17698.0,17707.62999999993,0.0005441292801405955
uniform,Eucl,0.5,50,511,17880.0,17880.0,0.0
uniform,Eucl,0.5,75,511,17880.0,17880.0,0.0
uniform,Eucl,0.5,100,511,17880.0,17880.0,0.0
uniform,Eucl,0.5,150,511,17880.0,17880.0,0.0
uniform,Eucl,0.5,300,511,17880.0,17880.0,0.0
