weight,rho,ablation,K,coverage_pct,cand_set
pop,0.5,A0,1,32.241401854759005,511
pop,0.5,A0,5,82.53369464194678,511
pop,0.5,A0,10,95.6621635155906,511
pop,0.5,A0,20,99.25614724838877,511
pop,0.5,A0,30,99.94020644306332,511
pop,0.5,A0,50,99.96907725628994,511
pop,0.5,A0,75,99.96907725628994,511
pop,0.5,A0,100,99.96907725628994,511
pop,0.5,A0,150,99.96907725628994,511
pop,0.5,A0,300,99.96907725628994,511
pop,0.5,A0,605,99.96907725628994,511
pop,0.5,Eucl,1,27.411011473425937,511
pop,0.5,Eucl,5,75.06982550473529,511
pop,0.5,Eucl,10,92.70238285804501,511
pop,0.5,Eucl,20,98.16820538893775,511
pop,0.5,Eucl,30,99.64670841569479,511
pop,0.5,Eucl,50,99.96282320915593,511
pop,0.5,Eucl,75,99.96282320915593,511
pop,0.5,Eucl,100,99.96282320915593,511
pop,0.5,Eucl,150,99.96282320915593,511
pop,0.5,Eucl,300,99.96282320915593,511
pop,0.5,Eucl,605,99.96282320915593,511
pop,0.5,energy,1,25.525212665688628,511
pop,0.5,energy,5,72.24936553551298,511
pop,0.5,energy,10,90.90355587128076,511
pop,0.5,energy,20,97.79046496511818,511
pop,0.5,energy,30,99.41261327078678,511
pop,0.5,energy,50,99.93465250550811,511
pop,0.5,energy,75,99.93465250550811,511
pop,0.5,energy,100,99.93465250550811,511
pop,0.5,energy,150,99.93465250550811,511
pop,0.5,energy,300,99.93465250550811,511
pop,0.5,energy,605,99.93465250550811,511
pop,0.5,High,1,17.688321532613532,511
pop,0.5,High,5,58.454739610331615,511
pop,0.5,High,10,79.98131437939433,511
pop,0.5,High,20,92.32646840658158,511
pop,0.5,High,30,95.0188557254115,511
pop,0.5,High,50,97.33747825289863,511
pop,0.5,High,75,98.04691797318638,511
pop,0.5,High,100,98.23895889310178,511
pop,0.5,High,150,98.25212960719499,511
pop,0.5,High,300,98.25212960719499,511
pop,0.5,High,605,98.25212960719499,511
pop,0.5,Medium,1,16.31350908442751,511
pop,0.5,Medium,5,56.822600965041225,511
pop,0.5,Medium,10,78.85192362765771,511
pop,0.5,Medium,20,91.18447670021737,511
pop,0.5,Medium,30,93.80321688806276,511
pop,0.5,Medium,50,96.13692928156077,511
pop,0.5,Medium,75,96.71686117327862,511
pop,0.5,Medium,100,96.8474690879603,511
pop,0.5,Medium,150,96.8481284183044,511
pop,0.5,Medium,300,96.8481284183044,511
pop,0.5,Medium,605,96.8481284183044,511
pop,0.5,Low,1,4.987930181825725,511
pop,0.5,Low,5,20.20021099282908,511
pop,0.5,Low,10,34.13385406430956,511
pop,0.5,Low,20,52.60519674039299,511
pop,0.5,Low,30,63.29302129335268,511
pop,0.5,Low,50,73.44561143386083,511
pop,0.5,Low,75,77.6171351802262,511
pop,0.5,Low,100,79.21745102796783,511
pop,0.5,Low,150,79.75897227694605,511
pop,0.5,Low,300,79.76314914242165,511
pop,0.5,Low,605,79.76314914242165,511
