weight,rho,ablation,K,coverage_pct,cand_set
uniform,0.0,A0,1,61.59561986703168,511
uniform,0.0,A0,5,96.3517514944969,511
uniform,0.0,A0,10,99.84915358399911,511
uniform,0.0,A0,20,100.0,511
uniform,0.0,A0,30,100.0,511
uniform,0.0,A0,50,100.0,511
uniform,0.0,A0,75,100.0,511
uniform,0.0,A0,100,100.0,511
uniform,0.0,A0,150,100.0,511
uniform,0.0,A0,300,100.0,511
uniform,0.0,A0,605,100.0,511
uniform,0.0,Eucl,1,65.47851835298061,511
uniform,0.0,Eucl,5,97.28476451198391,511
uniform,0.0,Eucl,10,99.96647857422202,511
uniform,0.0,Eucl,20,100.0,511
uniform,0.0,Eucl,30,100.0,511
uniform,0.0,Eucl,50,100.0,511
uniform,0.0,Eucl,75,100.0,511
uniform,0.0,Eucl,100,100.0,511
uniform,0.0,Eucl,150,100.0,511
uniform,0.0,Eucl,300,100.0,511
uniform,0.0,Eucl,605,100.0,511
uniform,0.0,energy,1,62.32750432985083,511
uniform,0.0,energy,5,96.61992290072071,511
uniform,0.0,energy,10,99.91619643555507,511
uniform,0.0,energy,20,100.0,511
uniform,0.0,energy,30,100.0,511
uniform,0.0,energy,50,100.0,511
uniform,0.0,energy,75,100.0,511
uniform,0.0,energy,100,100.0,511
uniform,0.0,energy,150,100.0,511
uniform,0.0,energy,300,100.0,511
uniform,0.0,energy,605,100.0,511
uniform,0.0,High,1,59.18207721101737,511
uniform,0.0,High,5,94.7371361528577,511
uniform,0.0,High,10,98.94966199229007,511
uniform,0.0,High,20,99.88826191407341,511
uniform,0.0,High,30,99.9050226269624,511
uniform,0.0,High,50,99.9050226269624,511
uniform,0.0,High,75,99.9050226269624,511
uniform,0.0,High,100,99.9050226269624,511
uniform,0.0,High,150,99.9050226269624,511
uniform,0.0,High,300,99.9050226269624,511
uniform,0.0,High,605,99.9050226269624,511
uniform,0.0,Medium,1,57.22107380300575,511
uniform,0.0,Medium,5,93.12810771551483,511
uniform,0.0,Medium,10,97.06687524442707,511
uniform,0.0,Medium,20,97.67026090843063,511
uniform,0.0,Medium,30,97.67026090843063,511
uniform,0.0,Medium,50,97.67026090843063,511
uniform,0.0,Medium,75,97.67026090843063,511
uniform,0.0,Medium,100,97.67026090843063,511
uniform,0.0,Medium,150,97.67026090843063,511
uniform,0.0,Medium,300,97.67026090843063,511
uniform,0.0,Medium,605,97.67026090843063,511
uniform,0.0,Low,1,20.185485222638135,511
uniform,0.0,Low,5,68.707749036259,511
uniform,0.0,Low,10,84.94329292139226,511
uniform,0.0,Low,20,89.95474607519974,511
uniform,0.0,Low,30,90.46874127046203,511
uniform,0.0,Low,50,90.48550198335103,511
uniform,0.0,Low,75,90.48550198335103,511
uniform,0.0,Low,100,90.48550198335103,511
uniform,0.0,Low,150,90.48550198335103,511
uniform,0.0,Low,300,90.48550198335103,511
uniform,0.0,Low,605,90.48550198335103,511
