case,cov_rho0.0,cov_rho0.5,cov_rho0.8
const_median,99.99999999999996,98.90941691011292,-0.0
const_p75,99.99999999999996,97.31238124728883,-0.0
perm0,93.9346099141789,89.50275363613892,2.1906955614988375
perm1,93.91489605854608,89.69214814232765,2.1970471662930167
perm2,93.91102197345683,89.57270571147241,2.262426857980032
perm3,93.87964812351498,89.60339048896269,2.1692365425875773
perm4,93.8578791497967,89.56516526097856,2.2872298883311215
perm5,93.89013246556071,89.61018899690384,2.145661417383995
perm6,93.9214241202037,89.51515223886152,2.190596204268648
perm7,93.97930362809004,89.90652487847454,2.2557878612048046
perm8,93.71862591351982,89.43533648329837,1.935778459529524
perm9,93.73709483651773,89.52247451984259,2.349845389206218
