theta_route,rho,cand_set,Eucl,energy,sigmaHigh,sigmaMedium,sigmaLow
0.25,0.0,511,17899,17899,17882,17882,17881
0.25,0.2,511,17899,17899,17865,17865,17864
0.25,0.5,511,17880,17869,17605,17605,17594
0.25,0.8,511,3895,3895,959,959,939
0.5,0.0,511,17899,17899,17882,17880,17840
0.5,0.2,511,17899,17899,17865,17865,17835
0.5,0.5,511,17880,17869,17605,17605,17495
0.5,0.8,511,3895,3895,959,959,797
0.75,0.0,511,17899,17899,17882,17804,17418
0.75,0.2,511,17899,17899,17865,17804,17418
0.75,0.5,511,17880,17869,17605,17593,17038
0.75,0.8,511,3895,3895,959,955,642
1.0,0.0,511,17899,17899,17882,17482,16196
1.0,0.2,511,17899,17899,17865,17482,16186
1.0,0.5,511,17880,17869,17605,17402,14889
1.0,0.8,511,3895,3895,959,934,493
