sigma,N_iid,N_cc95,N_bias_med,N_bias_mix,Eterm_iid_kJ,Eterm_cc95_kJ,Eterm_bias_med_kJ
0.5,1.0,1.0,1.0000000000000937,84311353586.15544,30.25917670491019,30.25917670491019,30.259176704910978
0.75,1.000000000223363,1.0,1.0000318555706322,115765165584.04457,30.259176706794896,30.25917670491019,30.25944549781423
1.0,1.00000372666706,1.0,1.010537580463108,153855325507.9831,30.25920815001199,30.25917670491019,30.348091353056574
1.25,1.0003355752008412,1.0,1.1088780552078037,160795541144.3615,30.262008242094065,30.25917670491019,31.177874692893035
1.5,1.0038809234797128,1.0,1.3724921748079615,170509026534.0189,30.29192340106969,30.25917670491019,33.40221421492351
1.75,1.017169706810622,1.0,1.829355805544479,179744345886.55658,30.40405231892688,30.25917670491019,37.2571664138685
2.0,1.045956103910514,1.0,2.5016645646216786,182452729497.8035,30.64694796072055,30.25917670491019,42.9300148413007
2.25,1.0924878215686078,2.0,3.414265398769173,193424242028.38818,31.039576165810058,38.69703855162876,50.63041460103738
2.5,1.1565176427496657,2.0,4.591024969941138,197561940879.3614,31.57985095100592,38.69703855162876,60.5597492893902
2.75,1.23685102900302,2.0,6.052213541567443,209235449433.33136,32.257692965890804,38.69703855162876,72.88905658877701
3.0,1.3321826983213196,3.0,7.813563701415501,217248891593.2141,33.06208842121568,47.13490039834732,87.75108590127057
3.25,1.441391535652577,3.0,9.886315477780695,232100396156.50314,33.98357750305758,47.13490039834732,105.24067903278058
3.5,1.5635939993195573,3.0,12.277739861162104,235428845318.70163,35.014705008808214,47.13490039834732,125.41918759662704
3.75,1.698116608446903,4.0,14.991841688792405,240072929144.10056,36.149788199884874,55.57276224506588,148.3204038560979
4.0,1.844451372492517,4.0,18.030077501757244,247369857263.23352,37.384540722273925,55.57276224506588,173.95661790364787
4.25,2.002214989442968,5.0,21.392006024514163,250076778942.27533,38.715728326540464,64.01062409178445,202.3241063172134
4.5,2.1711165850805894,5.0,25.075837572500106,254141126465.8732,40.14089665622103,64.01062409178445,233.40776798570218
4.75,2.350933588465586,6.0,29.078876134102828,256432233110.7269,41.658167688474556,72.44848593850301,267.18485433559295
5.0,2.5414940825367984,6.0,33.397862017868995,256441101987.68546,43.26609081088987,72.44848593850301,303.62786054073956
5.25,2.7426639748239943,7.0,38.029229071357264,256452336996.13385,44.963534569728495,80.88634778522159,342.7066958995177
5.5,2.9543376594885427,8.0,42.969292020074995,256466252652.79904,46.74960787751382,89.32420963194015,384.39026457489103
5.75,3.1764311837940977,8.0,48.21437863216672,256483153815.98807,48.62360235265493,89.32420963194015,428.6475807817941
6.0,3.4088772095736055,9.0,53.760919508493586,256503331405.54166,50.58494980500119,97.76207147865873,475.4485264234175
6.25,3.651621266232653,10.0,59.60550607936409,256527059167.1315,52.63319061920226,106.19993332537727,524.7643404596095
6.5,3.9046189390521575,11.0,65.74492525064183,256554591396.68756,54.76795002999455,114.63779517209585,576.5679112459463
6.75,4.167833740121091,11.0,72.176177260984,256586161510.55243,56.98892015742572,114.63779517209585,630.8339272106447
