kperp,regime,rho,cov_eucl,cov_sigma,gap_pp,sat_m,removed
0.1,Low,0.0,99.99999999999996,90.16113316862001,9.838866831379946,7.35,1654
0.1,Low,0.2,99.99999999999996,90.16005983377198,9.839940166227976,7.35,1654
0.1,Low,0.5,99.68774212156532,87.89872385035075,11.789018271214573,7.35,1654
0.1,Low,0.8,11.166433177945965,1.9233958565861295,9.243037321359836,7.35,1654
0.1,Medium,0.0,99.99999999999996,97.47064358943267,2.5293564105672885,9.9,427
0.1,Medium,0.2,99.99999999999996,97.47064358943267,2.5293564105672885,9.9,427
0.1,Medium,0.5,99.68774212156532,94.60361282995235,5.0841292916129674,9.9,427
0.1,Medium,0.8,11.166433177945965,1.9674060236058375,9.199027154340127,9.9,427
0.1,High,0.0,99.99999999999996,99.92800941292417,0.07199058707578843,19.9,10
0.1,High,0.2,99.99999999999996,99.75615391652114,0.24384608347881453,19.9,10
0.1,High,0.5,99.68774212156532,95.13320015364582,4.554541967919505,19.9,10
0.1,High,0.8,11.166433177945965,1.9807233970256417,9.185709780920323,19.9,10
0.3,Low,0.0,99.99999999999996,88.17228826211237,11.827711737887583,7.05,1976
0.3,Low,0.2,99.99999999999996,87.56100610460244,12.438993895397516,7.05,1976
0.3,Low,0.5,99.68774212156532,64.79320922108133,34.894532900483995,7.05,1976
0.3,Low,0.8,11.166433177945965,1.1139050054901847,10.05252817245578,7.05,1976
0.3,Medium,0.0,99.99999999999996,97.16128421683231,2.8387157831676433,9.7,478
0.3,Medium,0.2,99.99999999999996,97.16128421683231,2.8387157831676433,9.7,478
0.3,Medium,0.5,99.68774212156532,93.93514308935383,5.752599032211492,9.7,478
0.3,Medium,0.8,11.166433177945965,1.950473669073942,9.215959508872023,9.7,478
0.3,High,0.0,99.99999999999996,99.92800941292417,0.07199058707578843,19.7,10
0.3,High,0.2,99.99999999999996,99.75615391652114,0.24384608347881453,19.7,10
0.3,High,0.5,99.68774212156532,95.13320015364582,4.554541967919505,19.7,10
0.3,High,0.8,11.166433177945965,1.9807233970256417,9.185709780920323,19.7,10
