weight,rho,ablation,K,coverage_pct
ev,0.0,A0,1,45.41301020110074
ev,0.0,A0,5,96.5289912882196
ev,0.0,A0,10,100.0
ev,0.0,A0,20,100.0
ev,0.0,A0,30,100.0
ev,0.0,A0,50,100.0
ev,0.0,A0,75,100.0
ev,0.0,A0,100,100.0
ev,0.0,A0,150,100.0
ev,0.0,A0,300,100.0
ev,0.0,A0,605,100.0
ev,0.0,Eucl,1,50.40308316929918
ev,0.0,Eucl,5,97.27975958418006
ev,0.0,Eucl,10,100.0
ev,0.0,Eucl,20,100.0
ev,0.0,Eucl,30,100.0
ev,0.0,Eucl,50,100.0
ev,0.0,Eucl,75,100.0
ev,0.0,Eucl,100,100.0
ev,0.0,Eucl,150,100.0
ev,0.0,Eucl,300,100.0
ev,0.0,Eucl,605,100.0
ev,0.0,energy,1,46.635963155786946
ev,0.0,energy,5,96.65869600549837
ev,0.0,energy,10,100.0
ev,0.0,energy,20,100.0
ev,0.0,energy,30,100.0
ev,0.0,energy,50,100.0
ev,0.0,energy,75,100.0
ev,0.0,energy,100,100.0
ev,0.0,energy,150,100.0
ev,0.0,energy,300,100.0
ev,0.0,energy,605,100.0
ev,0.0,sigma_High,1,44.55898802701172
ev,0.0,sigma_High,5,95.58664030789201
ev,0.0,sigma_High,10,99.6524211016084
ev,0.0,sigma_High,20,99.6524211016084
ev,0.0,sigma_High,30,99.6524211016084
ev,0.0,sigma_High,50,99.6524211016084
ev,0.0,sigma_High,75,99.6524211016084
ev,0.0,sigma_High,100,99.6524211016084
ev,0.0,sigma_High,150,99.6524211016084
ev,0.0,sigma_High,300,99.6524211016084
ev,0.0,sigma_High,605,99.6524211016084
ev,0.0,sigma_Medium,1,42.69733760087702
ev,0.0,sigma_Medium,5,95.09214771253356
ev,0.0,sigma_Medium,10,99.51214667149651
ev,0.0,sigma_Medium,20,99.51984822104828
ev,0.0,sigma_Medium,30,99.51984822104828
ev,0.0,sigma_Medium,50,99.51984822104828
ev,0.0,sigma_Medium,75,99.51984822104828
ev,0.0,sigma_Medium,100,99.51984822104828
ev,0.0,sigma_Medium,150,99.51984822104828
ev,0.0,sigma_Medium,300,99.51984822104828
ev,0.0,sigma_Medium,605,99.51984822104828
ev,0.0,sigma_Low,1,19.90919607507789
ev,0.0,sigma_Low,5,71.9661471750185
ev,0.0,sigma_Low,10,91.42950320225118
ev,0.0,sigma_Low,20,96.64637352621554
ev,0.0,sigma_Low,30,97.52828062109545
ev,0.0,sigma_Low,50,97.52828062109545
ev,0.0,sigma_Low,75,97.52828062109545
ev,0.0,sigma_Low,100,97.52828062109545
ev,0.0,sigma_Low,150,97.52828062109545
ev,0.0,sigma_Low,300,97.52828062109545
ev,0.0,sigma_Low,605,97.52828062109545
ev,0.2,A0,1,33.55363305993718
ev,0.2,A0,5,89.71625366885887
ev,0.2,A0,10,99.11554342664779
ev,0.2,A0,20,100.0
ev,0.2,A0,30,100.0
ev,0.2,A0,50,100.0
ev,0.2,A0,75,100.0
ev,0.2,A0,100,100.0
ev,0.2,A0,150,100.0
ev,0.2,A0,300,100.0
ev,0.2,A0,605,100.0
ev,0.2,Eucl,1,34.48153699558834
ev,0.2,Eucl,5,90.93686960161212
ev,0.2,Eucl,10,99.11554342664779
ev,0.2,Eucl,20,100.0
ev,0.2,Eucl,30,100.0
ev,0.2,Eucl,50,100.0
ev,0.2,Eucl,75,100.0
ev,0.2,Eucl,100,100.0
ev,0.2,Eucl,150,100.0
ev,0.2,Eucl,300,100.0
ev,0.2,Eucl,605,100.0
ev,0.2,energy,1,31.841552037511327
ev,0.2,energy,5,86.98066326807023
ev,0.2,energy,10,98.80572867812728
ev,0.2,energy,20,100.0
ev,0.2,energy,30,100.0
ev,0.2,energy,50,100.0
ev,0.2,energy,75,100.0
ev,0.2,energy,100,100.0
ev,0.2,energy,150,100.0
ev,0.2,energy,300,100.0
ev,0.2,energy,605,100.0
ev,0.2,sigma_High,1,28.630377673367192
ev,0.2,sigma_High,5,83.20366402547779
ev,0.2,sigma_High,10,97.55324426447015
ev,0.2,sigma_High,20,99.6524211016084
ev,0.2,sigma_High,30,99.6524211016084
ev,0.2,sigma_High,50,99.6524211016084
ev,0.2,sigma_High,75,99.6524211016084
ev,0.2,sigma_High,100,99.6524211016084
ev,0.2,sigma_High,150,99.6524211016084
ev,0.2,sigma_High,300,99.6524211016084
ev,0.2,sigma_High,605,99.6524211016084
ev,0.2,sigma_Medium,1,28.313392516643315
ev,0.2,sigma_Medium,5,83.00167097068206
ev,0.2,sigma_Medium,10,97.55324426447015
ev,0.2,sigma_Medium,20,99.51984822104828
ev,0.2,sigma_Medium,30,99.51984822104828
ev,0.2,sigma_Medium,50,99.51984822104828
ev,0.2,sigma_Medium,75,99.51984822104828
ev,0.2,sigma_Medium,100,99.51984822104828
ev,0.2,sigma_Medium,150,99.51984822104828
ev,0.2,sigma_Medium,300,99.51984822104828
ev,0.2,sigma_Medium,605,99.51984822104828
ev,0.2,sigma_Low,1,12.997188137701581
ev,0.2,sigma_Low,5,55.273330649299055
ev,0.2,sigma_Low,10,80.92081851006354
ev,0.2,sigma_Low,20,93.63852007023813
ev,0.2,sigma_Low,30,97.13273965894352
ev,0.2,sigma_Low,50,97.52828062109545
ev,0.2,sigma_Low,75,97.52828062109545
ev,0.2,sigma_Low,100,97.52828062109545
ev,0.2,sigma_Low,150,97.52828062109545
ev,0.2,sigma_Low,300,97.52828062109545
ev,0.2,sigma_Low,605,97.52828062109545
ev,0.5,A0,1,15.4826109633948
ev,0.5,A0,5,63.00218086637652
ev,0.5,A0,10,89.75635484066291
ev,0.5,A0,20,99.33644511344649
ev,0.5,A0,30,100.0
ev,0.5,A0,50,100.0
ev,0.5,A0,75,100.0
ev,0.5,A0,100,100.0
ev,0.5,A0,150,100.0
ev,0.5,A0,300,100.0
ev,0.5,A0,605,100.0
ev,0.5,Eucl,1,13.044778402518036
ev,0.5,Eucl,5,56.72717074813384
ev,0.5,Eucl,10,82.89592072821604
ev,0.5,Eucl,20,97.29112600903578
ev,0.5,Eucl,30,100.0
ev,0.5,Eucl,50,100.0
ev,0.5,Eucl,75,100.0
ev,0.5,Eucl,100,100.0
ev,0.5,Eucl,150,100.0
ev,0.5,Eucl,300,100.0
ev,0.5,Eucl,605,100.0
ev,0.5,energy,1,12.536901045179945
ev,0.5,energy,5,51.14248504040392
ev,0.5,energy,10,78.5783258212242
ev,0.5,energy,20,96.16335358398247
ev,0.5,energy,30,99.84336641635745
ev,0.5,energy,50,100.0
ev,0.5,energy,75,100.0
ev,0.5,energy,100,100.0
ev,0.5,energy,150,100.0
ev,0.5,energy,300,100.0
ev,0.5,energy,605,100.0
ev,0.5,sigma_High,1,11.493048953173517
ev,0.5,sigma_High,5,45.69265612103224
ev,0.5,sigma_High,10,70.33219704494199
ev,0.5,sigma_High,20,92.93072110936306
ev,0.5,sigma_High,30,98.44019720215984
ev,0.5,sigma_High,50,99.41446977752614
ev,0.5,sigma_High,75,99.41446977752614
ev,0.5,sigma_High,100,99.41446977752614
ev,0.5,sigma_High,150,99.41446977752614
ev,0.5,sigma_High,300,99.41446977752614
ev,0.5,sigma_High,605,99.41446977752614
ev,0.5,sigma_Medium,1,11.493048953173517
ev,0.5,sigma_Medium,5,45.6171809354249
ev,0.5,sigma_Medium,10,69.9241742611027
ev,0.5,sigma_Medium,20,92.34880264805831
ev,0.5,sigma_Medium,30,97.96392275505141
ev,0.5,sigma_Medium,50,99.28189689696602
ev,0.5,sigma_Medium,75,99.28189689696602
ev,0.5,sigma_Medium,100,99.28189689696602
ev,0.5,sigma_Medium,150,99.28189689696602
ev,0.5,sigma_Medium,300,99.28189689696602
ev,0.5,sigma_Medium,605,99.28189689696602
ev,0.5,sigma_Low,1,8.304501210471132
ev,0.5,sigma_Low,5,26.84005953032233
ev,0.5,sigma_Low,10,44.330172334121904
ev,0.5,sigma_Low,20,66.83441880920235
ev,0.5,sigma_Low,30,78.23945764094633
ev,0.5,sigma_Low,50,91.41229422256309
ev,0.5,sigma_Low,75,96.48458787149353
ev,0.5,sigma_Low,100,96.49940671511384
ev,0.5,sigma_Low,150,96.49940671511384
ev,0.5,sigma_Low,300,96.49940671511384
ev,0.5,sigma_Low,605,96.49940671511384
ev,0.8,A0,1,4.848470684715558
ev,0.8,A0,5,22.783308139528707
ev,0.8,A0,10,40.07838584019657
ev,0.8,A0,20,63.59759031793059
ev,0.8,A0,30,79.36468058752732
ev,0.8,A0,50,94.76236204931328
ev,0.8,A0,75,99.99877837489869
ev,0.8,A0,100,100.0
ev,0.8,A0,150,100.0
ev,0.8,A0,300,100.0
ev,0.8,A0,605,100.0
ev,0.8,Eucl,1,2.021258401328278
ev,0.8,Eucl,5,8.487585633263896
ev,0.8,Eucl,10,13.943469564007312
ev,0.8,Eucl,20,23.526640456611595
ev,0.8,Eucl,30,31.29463579106599
ev,0.8,Eucl,50,42.62547417643878
ev,0.8,Eucl,75,54.261665723005535
ev,0.8,Eucl,100,63.9726823381692
ev,0.8,Eucl,150,78.65985601820327
ev,0.8,Eucl,300,96.57238553638372
ev,0.8,Eucl,605,96.57445698764246
ev,0.8,energy,1,2.021258401328278
ev,0.8,energy,5,8.487585633263896
ev,0.8,energy,10,13.943469564007312
ev,0.8,energy,20,23.526640456611595
ev,0.8,energy,30,31.29463579106599
ev,0.8,energy,50,42.62547417643878
ev,0.8,energy,75,54.261665723005535
ev,0.8,energy,100,63.9726823381692
ev,0.8,energy,150,78.65985601820327
ev,0.8,energy,300,96.57238553638372
ev,0.8,energy,605,96.57445698764246
ev,0.8,sigma_High,1,1.5285185724195294
