weight,rho,ablation,K,coverage_pct
pop,0.0,A0,1,76.66783553291931
pop,0.0,A0,5,98.5562014050753
pop,0.0,A0,10,99.96333091190941
pop,0.0,A0,20,99.99999999999996
pop,0.0,A0,30,99.99999999999996
pop,0.0,A0,50,99.99999999999996
pop,0.0,A0,75,99.99999999999996
pop,0.0,A0,100,99.99999999999996
pop,0.0,A0,150,99.99999999999996
pop,0.0,A0,300,99.99999999999996
pop,0.0,A0,605,99.99999999999996
pop,0.0,Eucl,1,80.12659957753378
pop,0.0,Eucl,5,99.02158812616858
pop,0.0,Eucl,10,99.99136766090417
pop,0.0,Eucl,20,99.99999999999996
pop,0.0,Eucl,30,99.99999999999996
pop,0.0,Eucl,50,99.99999999999996
pop,0.0,Eucl,75,99.99999999999996
pop,0.0,Eucl,100,99.99999999999996
pop,0.0,Eucl,150,99.99999999999996
pop,0.0,Eucl,300,99.99999999999996
pop,0.0,Eucl,605,99.99999999999996
pop,0.0,energy,1,77.5114293159069
pop,0.0,energy,5,98.66615345498911
pop,0.0,energy,10,99.97724092518071
pop,0.0,energy,20,99.99999999999996
pop,0.0,energy,30,99.99999999999996
pop,0.0,energy,50,99.99999999999996
pop,0.0,energy,75,99.99999999999996
pop,0.0,energy,100,99.99999999999996
pop,0.0,energy,150,99.99999999999996
pop,0.0,energy,300,99.99999999999996
pop,0.0,energy,605,99.99999999999996
pop,0.0,sigma_High,1,74.47529845888153
pop,0.0,sigma_High,5,97.30854367178196
pop,0.0,sigma_High,10,99.4647703961688
pop,0.0,sigma_High,20,99.91586665314689
pop,0.0,sigma_High,30,99.92800941292417
pop,0.0,sigma_High,50,99.92800941292417
pop,0.0,sigma_High,75,99.92800941292417
pop,0.0,sigma_High,100,99.92800941292417
pop,0.0,sigma_High,150,99.92800941292417
pop,0.0,sigma_High,300,99.92800941292417
pop,0.0,sigma_High,605,99.92800941292417
pop,0.0,sigma_Medium,1,71.37802519997625
pop,0.0,sigma_Medium,5,95.17475390524628
pop,0.0,sigma_Medium,10,96.99501343372805
pop,0.0,sigma_Medium,20,97.16128421683231
pop,0.0,sigma_Medium,30,97.16128421683231
pop,0.0,sigma_Medium,50,97.16128421683231
pop,0.0,sigma_Medium,75,97.16128421683231
pop,0.0,sigma_Medium,100,97.16128421683231
pop,0.0,sigma_Medium,150,97.16128421683231
pop,0.0,sigma_Medium,300,97.16128421683231
