weight,rho,ablation,K,coverage_pct
uniform,0.0,A0,1,61.79674842169953
uniform,0.0,A0,5,96.3517514944969
uniform,0.0,A0,10,99.84915358399911
uniform,0.0,A0,20,100.0
uniform,0.0,A0,30,100.0
uniform,0.0,A0,50,100.0
uniform,0.0,A0,75,100.0
uniform,0.0,A0,100,100.0
uniform,0.0,A0,150,100.0
uniform,0.0,A0,300,100.0
uniform,0.0,A0,605,100.0
uniform,0.0,Eucl,1,65.47851835298061
uniform,0.0,Eucl,5,97.28476451198391
uniform,0.0,Eucl,10,99.96647857422202
uniform,0.0,Eucl,20,100.0
uniform,0.0,Eucl,30,100.0
uniform,0.0,Eucl,50,100.0
uniform,0.0,Eucl,75,100.0
uniform,0.0,Eucl,100,100.0
uniform,0.0,Eucl,150,100.0
uniform,0.0,Eucl,300,100.0
uniform,0.0,Eucl,605,100.0
uniform,0.0,energy,1,62.80239119503883
uniform,0.0,energy,5,96.61992290072071
uniform,0.0,energy,10,99.92737024414772
uniform,0.0,energy,20,100.0
uniform,0.0,energy,30,100.0
uniform,0.0,energy,50,100.0
uniform,0.0,energy,75,100.0
uniform,0.0,energy,100,100.0
uniform,0.0,energy,150,100.0
uniform,0.0,energy,300,100.0
uniform,0.0,energy,605,100.0
uniform,0.0,sigma_High,1,59.64579026761272
uniform,0.0,sigma_High,5,94.76507067433936
uniform,0.0,sigma_High,10,98.94966199229007
uniform,0.0,sigma_High,20,99.88826191407341
uniform,0.0,sigma_High,30,99.91060953125873
uniform,0.0,sigma_High,50,99.91060953125873
uniform,0.0,sigma_High,75,99.91060953125873
uniform,0.0,sigma_High,100,99.91060953125873
uniform,0.0,sigma_High,150,99.91060953125873
uniform,0.0,sigma_High,300,99.91060953125873
uniform,0.0,sigma_High,605,99.91060953125873
uniform,0.0,sigma_Medium,1,57.22107380300575
uniform,0.0,sigma_Medium,5,93.13928152410749
uniform,0.0,sigma_Medium,10,97.07246214872339
uniform,0.0,sigma_Medium,20,97.67026090843063
uniform,0.0,sigma_Medium,30,97.67026090843063
uniform,0.0,sigma_Medium,50,97.67026090843063
uniform,0.0,sigma_Medium,75,97.67026090843063
uniform,0.0,sigma_Medium,100,97.67026090843063
uniform,0.0,sigma_Medium,150,97.67026090843063
uniform,0.0,sigma_Medium,300,97.67026090843063
uniform,0.0,sigma_Medium,605,97.67026090843063
uniform,0.0,sigma_Low,1,20.185485222638135
