beta,rho,Eucl,energy,sigma_High,sigma_Medium,sigma_Low
0.25,0.0,17899,17899,17883,17883,17883
0.25,0.2,17899,17899,17865,17865,17864
0.25,0.5,17881,17874,17655,17655,17645
0.25,0.8,5352,5352,1175,1175,1141
0.5,0.0,17899,17899,17883,17881,17840
0.5,0.2,17899,17899,17865,17865,17837
0.5,0.5,17881,17874,17655,17655,17580
0.5,0.8,5352,5352,1175,1174,961
0.75,0.0,17899,17899,17883,17804,17418
0.75,0.2,17899,17899,17865,17804,17418
0.75,0.5,17881,17874,17655,17640,17211
0.75,0.8,5352,5352,1175,1167,766
1.0,0.0,17899,17899,17883,17482,16201
1.0,0.2,17899,17899,17865,17482,16198
1.0,0.5,17881,17874,17655,17427,15423
1.0,0.8,5352,5352,1174,1139,582
